Date,Location,Dead,Injured,Total,Description
5/27/18,"Shreveport, Louisiana (2)",0,4,4,Four people were injured in a shooting on the bank of the Red River.[245]
5/27/18,"Aurora, Colorado",1,3,4,A fight in a nightclub spilled into the parking lot and resulted in a shooting that killed one person and injured three others.[246]
5/25/18,"Cincinnati, Ohio (1)",0,4,4,A shooting broke out after a man tried to rob a group of people playing dice. Four people were injured by gunshots. Two men were arrested.[247]
5/20/18,"Anderson, Indiana",0,4,4,Four people were wounded in a shooting at a block party.[248]
5/20/18,"Hazlehurst, Mississippi",1,7,8,"Two suspects fired shots into a nightclub, killing one person and wounding seven others.[249]"
5/18/18,"Santa Fe, Texas",10,14,24,"Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police.[250]"
5/16/18,"Ponder, Texas",5,1,6,A man wounded his ex-wife and killed their three children and his ex-wife's boyfriend before killing himself in a murder–suicide.[251]
5/14/18,"Baltimore, Maryland (1)",0,4,4,Four men were wounded in a shooting near a playground.[252]
5/13/18,"Stockton, California",3,2,5,"A shooter fired into a home, killing a five-year-old girl and her parents, and wounding two other family members.[253]"
5/13/18,"Byhalia, Mississippi",0,4,4,"A man opened fire at a block party, possibly after a fight over a dice game, wounding four people. The suspect was arrested.[254][255]"
5/13/18,"Los Angeles, California (2)",2,2,4,A man killed one teenage boy and wounded three others. One of the wounded boys died in the hospital several days later.[256]
5/12/18,"Omaha, Nebraska (2)",0,7,7,Seven people were wounded in a shooting.[257]
5/12/18,"Paulsboro, New Jersey",0,4,4,Four people were injured by gunfire in a shooting following a fight at a birthday party.[258]
5/11/18,"St. Louis, Missouri (4)",0,4,4,Two children and two adults were injured when shooters fired at them from two cars.[259]
5/11/18,"Talihina, Oklahoma",1,4,5,"Four police officers were injured in a shootout while trying to execute a search warrant, either by gunfire or from shrapnel from explosives in the home. The suspect was killed.[260]"
5/9/18,"Omaha, Nebraska (1)",0,4,4,Four people were injured in a suspected drive-by shooting outside an apartment complex.[261]
5/9/18,"St. Louis, Missouri (3)",0,4,4,Four people were wounded in a shooting.[262]
5/7/18,"San Diego, California",0,5,5,Two men approached a group of people and wounded four people. A fifth victim was shot and wounded several blocks away. Police believe the first attack was gang-related.[263]
5/6/18,"Stillwater, Oklahoma",0,4,4,"After a fight and theft from the bar and a tip jar, private security shut down a party. As the guests left, several weapons were fired and four people were injured.[264]"
5/6/18,"Memphis, Tennessee (2)",2,4,6,Two people were killed and four were injured after they were shot while traveling in a car by a gunman in another car.[265]
5/5/18,"Columbus, Georgia",0,5,5,Five people were injured in a shooting. A suspect was arrested.[266]
5/4/18,"Henderson, North Carolina",0,4,4,Four people were injured in a shooting.[267]
5/4/18,"Chicago Heights, Illinois",0,4,4,A shooting at a house party wounded four people.[268]
5/2/18,"Chicago, Illinois (2)",1,4,5,"A man shot at a group of people from a car, killing one and wounding four. He and the driver of the car were later arrested.[269]"
5/2/18,"Minneapolis, Minnesota (1)",0,6,6,Six people were wounded after guns were fired following an argument at a housing complex. Three people were arrested.[270]
5/2/18,"New York City, New York (2)",1,4,5,One person was killed and four were wounded following a shooting outside of a Brooklyn apartment complex.[271]
5/1/18,"New Orleans, Louisiana (4)",0,5,5,Five people were injured in a shooting.[272]
4/30/18,"Pompano Beach, Florida",0,4,4,A man pulled out a gun after being punched during an after-party at a club and wounded four people.[273]
4/30/18,"Washington, District of Columbia (3)",0,4,4,Four people were injured in a drive-by shooting.[274]
4/29/18,"Wartburg, Tennessee",0,4,4,A man shot and wounded two people at an apartment complex. Two more people were wounded by gunfire while trying to disarm the shooter. The shooter was arrested.[275]
4/29/18,"Bryn Mawr-Skyway, Washington",2,2,4,Two people were killed and two others were injured in a shooting in a parking lot outside a motorcycle club.[276]
4/29/18,"Monroe, North Carolina",1,3,4,A man killed one person and wounded three others in a shooting. He was later arrested by police.[277]
4/29/18,"West Palm Beach, Florida",1,3,4,A man killed one person and injured three others in a shooting at a nightclub. He was later arrested by police.[278]
4/28/18,"Maxton, North Carolina",0,5,5,Five were injured in a shooting following an argument at a party.[279]
4/25/18,"Pine Bluff, Arkansas (1)",0,4,4,Four people were injured after men stepped out of a truck and began shooting at them.[280]
4/25/18,"St. Louis, Missouri (2)",3,1,4,Three people were killed and one was wounded after being shot in a home. A suspect was later taken into custody by police.[281]
4/24/18,"Flint, Michigan",0,4,4,Four people were injured in a shooting.[282]
4/22/18,"New Orleans, Louisiana (3)",1,5,6,"After a domestic issue, a man went on a shooting spree that resulted in one death and five people being injured by gunfire. The man was arrested.[283]"
4/22/18,"Nashville, Tennessee (2)",4,2,6,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.[284]"
4/21/18,"Philadelphia, Pennsylvania (2)",2,2,4,A man killed two people and wounded two others after being kicked out of a party.[285]
4/20/18,"San Francisco, California (2)",1,5,6,"A gunman shot six men standing near each, killing one and injuring five.[286]"
4/18/18,"Asheville, North Carolina",4,3,7,"A man killed a mother and two of her children, wounded her other three children, and then killed himself.[287]"
4/15/18,"Shreveport, Louisiana (1)",0,6,6,Six people in a tattoo parlor were injured when they were shot at by a person in a pickup truck outside the business.[288]
4/9/18,"Vallejo, California (1)",0,4,4,Four people were injured in a shooting outside an apartment complex.[289]
4/8/18,"Hickory, North Carolina",1,3,4,"Several people fired hundreds of rounds outside of a bar, killing one person and injuring three others. Three men were arrested.[290]"
4/8/18,"Miami, Florida (2)",2,2,4,Two people were killed and two were wounded in a shooting in the Liberty City neighborhood of Miami.[291]
4/6/18,"Jacksonville, Florida (1)",0,4,4,Four people were wounded in a shooting.[292]
4/6/18,"Virginia Beach, Virginia (1)",1,3,4,One person was killed and three others were injured in a shooting.[293]
4/4/18,"New Orleans, Louisiana (2)",2,2,4,Two people were killed and two others were injured in a shooting.[294]
4/2/18,"Houston, Texas (1)",1,3,4,One person was killed and three others were wounded in a drive-by shooting outside of a home.[295]
4/1/18,"Mobile, Alabama",1,4,5,A fifteen-year-old was killed and four other people were wounded in a shooting at a spring break party.[296]
4/1/18,"Saginaw, Michigan (2)",0,5,5,Five people were injured in a shooting at a house party.[297]
3/31/18,"Asbury Park, New Jersey",0,5,5,Five people were wounded in a drive-by shooting.[298]
3/29/18,"Plano, Texas",1,3,4,One person was killed and three others were injured in a shooting at an apartment complex. One person was arrested.[299]
3/29/18,"Camden, New Jersey",0,4,4,Four people were wounded in a shooting inside a business.[300]
3/24/18,"Salt Lake City, Utah",0,4,4,Four people were injured in a drive-by shooting directed at a traveling rap group. The shooting may have been gang-related.[301]
3/21/18,"San Francisco, California (1)",1,5,6,"A police officer, the suspect, and four others were all wounded by gunfire. One of the wounded victims later died of his injuries.[302]"
3/17/18,"Louisville, Kentucky",0,7,7,Seven people were injured in a shooting in a nightclub.[303]
3/17/18,"Harvey, Illinois",0,4,4,"Four men were wounded in a shooting in a strip club, which seemed to stem from an earlier incident at a different nightclub.[304]"
3/13/18,"Macclenny, Florida",0,4,4,Four people were injured in a drive-by shooting. Two people were later arrested.[305]
3/12/18,"Modesto, California (1)",0,4,4,Four people were injured when shots were fired through the garage door of the garage they were in.[306]
3/11/18,"Champaign, Illinois",1,3,4,Three people were wounded and one other was fatally injured in a nightclub shooting following a verbal argument.[307]
3/11/18,"South Bend, Indiana",0,6,6,Six people were wounded when a man began shooting at a house party. He was arrested.[308]
3/11/18,"Saginaw, Michigan (1)",0,5,5,Five people were injured in a shooting following an argument at a party.[309]
3/9/18,"Yountville, California",5,0,5,"Yountville Shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide.[310]"
3/9/18,"Wadesboro, North Carolina",3,1,4,A man killed three people and injured one other in a shooting at a restaurant and bar. He was arrested two days later.[311]
3/7/18,"Hurtsboro, Alabama",2,2,4,A man entered a restaurant and killed the restaurant's owner and wounded three others. He was later taken into custody by police.[312]
3/4/18,"Rockford, Illinois",1,4,5,One man was killed and four other people were injured in a shooting at a party.[313]
3/3/18,"Miami, Florida (1)",0,4,4,Four people were injured in a shooting.[314]
3/3/18,"New York City, New York (1)",1,3,4,One person was killed and three were injured in a shooting or series of shootings in a close vicinity in Brooklyn.[315]
2/27/18,"Bridgeport, Connecticut",0,4,4,Four people were wounded after being shot by at least three shooters.[316]
2/26/18,"Detroit, Michigan (2)",5,0,5,"A man shot and killed the mother of his child and another woman who was sitting with her in a car at a gas station. He then killed another man at the gas station before returning home and killing his cousin. After being urged by his mother to turn himself in to police, the suspect killed himself.[317][318]"
2/23/18,"Palm Beach Gardens, Florida (1)",1,3,4,One person was killed and three were injured after a drug deal.[319]
2/18/18,"San Antonio, Texas (1)",0,5,5,Five people were injured in a shooting outside a Texas Roadhouse.[320]
2/17/18,"Kansas City, Kansas",1,7,8,One person was killed and seven others were injured at a party in what police suspect to be a gang-related shooting.[321]
2/17/18,"Memphis, Tennessee (1)",0,5,5,Five people were wounded in a shooting outside a nightclub.[322]
2/16/18,"Oklahoma City, Oklahoma (1)",1,3,4,One person was killed and three were injured inside a home. The man who died had been receiving threats after falling out with a gang. Two people were arrested.[323]
2/14/18,"Parkland, Florida",17,17,34,"Stoneman Douglas High School shooting: A former student of Marjory Stoneman Douglas High School entered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police.[324][325]"
2/13/18,"New Orleans, Louisiana (1)",3,5,8,A series of shootings left three people dead and five others wounded during the Mardi Gras celebration in New Orleans.[326]
2/11/18,"Detroit, Michigan (1)",4,3,7,Three women were killed and three police officers were wounded before a gunman killed himself in a murder–suicide in a home.[327]
2/10/18,"Paintsville, Kentucky",5,0,5,A gunman killed two people in a home and two other people in an apartment building before killing himself in a murder–suicide.[328]
2/7/18,"Lake Worth, Florida",3,3,6,A man killed two people and injured three others in a series of shootings before being shot and killed by a police officer.[329]
2/5/18,"Colorado Springs, Colorado (1)",2,4,6,A sheriff's deputy was killed and three detectives and a passerby were wounded in a shooting. The suspect was killed by police.[330]
2/3/18,"Cleveland, Ohio (1)",1,5,6,One person was killed and five others were injured in a shooting at a sports bar.[331]
1/31/18,"St. Louis, Missouri (1)",0,4,4,Three people in a car and a man standing at a bus stop were injured when they were shot at by someone in another vehicle.[332]
1/28/18,"Melcroft, Pennsylvania",5,0,5,"A man shot his ex-girlfriend and three other people at a car wash. The suspect also sustained a gunshot injury, suspected to be self-inflicted, and later died of his injuries.[333]"
1/28/18,"Reading, Pennsylvania",4,0,4,Four men were killed in a shooting in an apartment.[334]
1/28/18,"Indianapolis, Indiana (1)",2,3,5,Two were killed and three people were injured in a shooting at a bar.[335]
1/27/18,"Los Angeles, California (1)",0,5,5,Five people were injured in a gang-related drive-by shooting.[336]
1/27/18,"Bowling Green, Kentucky",0,4,4,Four people were wounded in a fight in and outside a club.[337]
1/25/18,"Washington, District of Columbia (2)",0,4,4,Four people were injured in a shooting.[338]
1/23/18,"Philadelphia, Pennsylvania (1)",0,4,4,Four people were injured in a drive-by shooting.[339]
1/23/18,"Benton, Kentucky",2,16,18,Marshall County High School Shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.[340]
1/21/18,"Orlando, Florida (1)",0,4,4,Four children were injured in a shooting. Two teenage suspects were arrested by police.[341]
1/21/18,"Chicago, Illinois (1)",0,4,4,Four people were injured after being shot near the entrance to a party.[342]
1/17/18,"Washington, District of Columbia (1)",1,3,4,A man killed one person and injured three others after determining them to be acquaintances of a person who stole his favorite pistol. The man was later taken into custody.[343]
1/15/18,"Alachua, Florida",0,5,5,Five people were injured in a gang-related drive-by shooting believed to be related to a murder that had happened the previous day. Two suspects were arrested.[344]
1/14/18,"Eutaw, Alabama",1,4,5,One person was killed and four were injured in a shooting following a fight at a biker club party.[345]
1/14/18,"Madison, Alabama",0,4,4,Four people were injured in a shooting at a hotel. A suspect was arrested.[346]
1/12/18,"Nashville, Tennessee (1)",3,2,5,"A man wounded his stepmother and killed her two daughters before highjacking a car, killing the driver and wounding the passenger. A suspect was arrested after abandoning the car.[347]"
1/11/18,"St. Robert, Missouri",2,2,4,"Four people were discovered in a vehicle, two deceased and two wounded, after police responded to calls of an abandoned car.[348]"
1/7/18,"Union Springs, Alabama",1,5,6,A shooting on US Highway 29 led to the shooting of another person at a local hospital. One person was killed and five others were wounded. Three suspects were arrested.[349][350]
1/7/18,"Plantation, Florida",0,4,4,Four people were wounded while leaving a private party.[351]
1/5/18,"Hattiesburg, Mississippi",0,6,6,Six people were wounded in a drive-by shooting behind a bar.[352]
1/4/18,"Brinkley, Arkansas",1,3,4,A 33-year-old was killed and three others wounded in a common area of an apartment complex.[353]
1/1/18,"Huntsville, Alabama (1)",1,3,4,A 21-year-old was killed and three others were wounded shortly after midnight at a New Year's Eve party.[354]
