2020 date,City,State,Dead,Injured,Total,Description
10/19/20,Mansfield,Ohio,0,5,5,Five people were wounded in a drive-by-shooting while standing outside a house during a party. A seventeen-year-old and four adults were among the injured.[112]
10/19/20,New Orleans (7),Louisiana,1,3,4,A man was killed and three others wounded after gunfire erupted in front of a convenience store.[113]
10/18/20,Annapolis,Maryland,1,3,4,An argument at an early morning house party escalated and one man was killed. Another adult and two seventeen-year-old girls were wounded.[114]
10/18/20,Chicago(47),Illinois,1,4,5,A gunman walked into an East Garfield Park home and opened fire. He killed one man and wounded four others.[115]
10/18/20,Nashville (3),Tennessee,0,4,4,"Two men were discovered wounded at a home near Belmont University, and two others arrived at local hospitals later.[116]"
10/17/20,Lockport,New York,1,5,6,Shortly after midnight two men approached a home hosting a Halloween themed house party opened fire on the closed garage door. A 21-year-old college student was killed and five others were wounded.[117]
10/17/20,Rock Hill (1),South Carolina,0,5,5,"A patrol officer heard gunfire near a local lounge in the early morning, and found a wounded man. Four others were transported by private vehicles to local hospitals.[118]"
10/16/20,San Jose (3),California,2,4,6,Shortly before midnight two men were killed and four injured at a local restaurant.[119]
10/16/20,Orlando (3),Florida,3,1,4,Three people were killed and one wounded after an argument occurred in the early morning at a private motorcycle club over a motorcycle. The wounded victim is refusing to cooperate with police.[120]
10/16/20,Mesa,Arizona,1,6,7,Six people were injured in a drive-by shooting and one was killed. Three of the injured were children and three were adults. The victim killed was one year old.[121]
10/16/20,San Francisco(2),California,1,3,4,A man was killed and another and two women were injured in an evening shooting.[122]
10/15/20,Baltimore(9),Maryland,0,7,7,Seven people were wounded in an evening shooting in Southwest Baltimore. Two people were discovered at the scene and five were later discovered at area hospitals.[123]
10/15/20,Lafayette (3),Louisiana,2,2,4,A party after a University of Louisiana football game in Moore Park led to an early morning shooting after an argument escalated. Two people were wounded and two killed.[124]
10/14/20,Philadelphia(26),Pennsylvania,0,4,4,Four men were injured at a gas station in an evening shooting in Southwest Philadelphia.[125]
10/12/20,Myrtle Beach (2),South Carolina,2,3,5,A man was killed and four others were injured at a local grocery store early in the morning. One of the injured died three days later.[126]
10/11/20,Atlanta (9),Georgia,0,4,4,Four people were wounded in an evening shooting at a downtown hotel. Additional guns and pills were discovered at the scene of the shooting.[127]
10/10/20,Chicago(46),Illinois,1,3,4,Four people were inside a vehicle when they were hit by gunfire near the West Garfield Park on the West Side. A man died and two adults and a seventeen-year-old girl were wounded.[128]
10/10/20,Kingstree,South Carolina,0,8,8,A man opened fire after he was ejected from a nightclub by firing into the club while standing in the road. Three people were discovered in the club and five were taken to the hospital in private vehicles.[129]
10/10/20,Jennings,Missouri,2,2,4,A woman and her six-year-old daughter were killed and her other daughters aged sixteen and ten-years-old were wounded. The woman's boyfriend was arrested as a person of interest.[130]
10/8/20,Philadelphia(25),Pennsylvania,1,6,7,At least two gunmen opened fire on a group of people in the city's Frankford neighborhood. One man was killed and six others wounded.[131]
10/7/20,Anchorage(2),Alaska,1,4,5,A man was killed and one man and three women were injured in an early morning shooting at a house party. Two teenagers were arrested and charged for the shooting.[132]
10/7/20,New York City (20),New York,1,3,4,One man was killed and three injured in an evening shooting at a Brooklyn building. Neighbors claim that the building was a local gambling den.[133]
10/5/20,"Washington, D.C. (8)","Washington, D.C.",0,4,4,"Two men and two women were shot in an evening shooting, with one victim in critical condition.[134]"
10/4/20,Indianapolis(4),Indiana,3,4,7,Police responding to reports of an early morning shooting found three men dead outside an establishment. Four additional wounded were identified at the hospital after transporting themselves.[135]
10/4/20,Atlanta (8),Georgia,1,5,6,"A fight broke out between two women inside a store and shortly after three men arrived with guns and entered the store. The men opened fire, and customers returned fire, with one man killed and three adults and two juveniles injured.[136]"
10/3/20,Sacramento(4),California,1,3,4,A nine-year-old girl was killed and two adults and a six-year-old girl were wounded at a Del Paso Heights park. They were part of a family gathering when a gunman drove up and opened fire.[137]
10/3/20,Clarksville,Tennessee,0,5,5,At least five people were wounded in an early morning shooting at a house party. An argument had broken out and escalated into gun fire.[138]
10/2/20,Seattle (2),Washington,0,4,4,A seventeen-year-old girl and three others were wounded in an evening shooting in Rainier Valley.[139]
10/2/20,New Orleans (6),Louisiana,0,4,4,Four people were wounded in a shooting in the Central Business District. Victims ran away from the original scene causing officers to believe there were more shootings than actual.[140]
10/1/20,Detroit (9),Michigan,0,5,5,Two women and three men were wounded in a shooting shortly before midnight in a rental hall.[141]
9/30/20,Greensboro(3),North Carolina,0,4,4,Four North Carolina A&T State University students were wounded in an off-campus apartment complex.[142]
9/30/20,Milwaukee(7),Wisconsin,0,7,7,Seven people were shot at a funeral home.[143]
9/30/20,Jacksonville(3),Florida,0,4,4,Two men and two women were wounded inside an apartment with no signs of a break-in.[144]
9/29/20,Philadelphia(24),Pennsylvania,0,5,5,Five men were wounded shortly before midnight while standing on a porch in the Logan section of the city.[145]
9/29/20,Plainsville,Ohio,2,2,4,Two men were killed and two wounded in an afternoon shooting. The men were recording a music video and got into an argument with another group which escalated.[146]
9/28/20,Detroit (8),Michigan,0,6,6,Four men and two women were injured in an early morning shooting after a large crowd had congregated outside a Gentleman's club in the city's southwest side.[147]
9/27/20,Nashville (2),Tennessee,0,4,4,"Four people were wounded near an intersection in the afternoon after an argument escalated. The gunman walked away to his vehicle, retrieved a pistol, opened fire, and drove away.[148]"
9/27/20,Sandusky,Ohio,0,4,4,"A man shot and wounded four people shortly before midnight, with one victim discovered in a vehicle by police.[149]"
9/27/20,San Bernardino(1),California,1,3,4,A nineteen-year-old was killed and three others injured in an evening shooting.[150]
9/26/20,Philadelphia(23),Pennsylvania,0,4,4,"Two teens, aged fifteen and sixteen-years-old and two adults were wounded just before midnight at a block party in West Philadelphia. The teens and one adult had been leaving the party when the gunman opened fire.[151]"
9/26/20,Enterprise,Alabama,1,3,4,One man died and three others injured after someone opened fire on an early morning party in an apartment complex parking lot.[152]
9/26/20,Waterloo,Iowa,2,6,8,Two people were killed and six injured in a shooting at a motorcycle club where over 100 people had gathered. Four others suffered injuries from broken glass and debris while fleeing from the gunfire.[153]
9/26/20,Chicago(45),Illinois,0,4,4,Two men and two women were injured in an early morning drive-by shooting in Marquette Park on the Southwest Side.[154]
9/25/20,Philadelphia(22),Pennsylvania,0,4,4,Four teenagers aged between seventeen and nineteen-years-old were injured in a late night shooting in the Frankford section of the city.[155]
9/23/20,Hampton,Georgia,1,3,4,A woman was killed and her mother and young child were injured when a man entered the home and shot. He shot and injured an additional woman while carjacking her in an attempt to flee.[156]
9/23/20,Minneapolis(6),Minnesota,0,5,5,Three men and two women were injured outside a bar early in the morning after an argument escalated. The bar was the scene of another mass shooting in June were a man died and six were injured.[157]
9/21/20,Struthers,Ohio,1,4,5,"A man barged into a home in the early morning and opened fire, wounding four adults and killing a four-year-old child. The child reportedly was held by his mother when the man opened fire and was struck and killed in her arms.[158]"
9/20/20,New York City (19),New York,0,4,4,Two women were discovered wounded in front of a house in Queens by police. Two men arrived at the hospital by private vehicles at a later time.[159]
9/20/20,Stamford,Connecticut,1,3,4,A woman was killed and three others injured in a housing complex parking lot shortly after midnight. A large crowd had gathered and someone opened fire.[160]
9/19/20,Buffalo (3),New York,1,4,5,A woman was killed and four other people were injured in an early morning shooting at a street party.[161]
9/19/20,Rochester(4),New York,2,14,16,Rochester shooting: Two people were killed and 14 others were injured in Rochester at a backyard party on Pennsylvania Avenue.[162]
9/19/20,Chicago(44),Illinois,0,4,4,"Four people were wounded in West Pullman less than an hour after the shooting in West Englewood. Two sedans pulled up to a group outside and opened fire towards people on the sidewalk, home porch and inside the home.[163]"
9/19/20,Chicago(43),Illinois,0,4,4,Four men were wounded in West Englewood while standing outside when someone opened fire.[164]
9/19/20,Plainfield,New Jersey,0,4,4,Police officers responded to a shooting after a ShotShopper alert and found four people wounded.[165]
9/19/20,West Memphis,Arkansas,0,5,5,Five people were shot in an evening shooting.[166]
9/18/20,Little Rock(3),Arkansas,0,4,4,"Four people were wounded in a drive-by afternoon shooting, near I-630.[167]"
9/16/20,Philadelphia(21),Pennsylvania,2,3,5,"Two men were killed and three wounded while playing basketball at the Roberto Clemente Playground in Spring Garden. Police believe the men were targeted as the three shooters chased them down, after the first confrontation.[168]"
9/15/20,San Jose (2),California,2,3,5,Two people were killed and three others injured in a quintuple shooting near San Jose State University.[169]
9/15/20,Chicago(42),Illinois,0,5,5,"Five people, including three teenagers, were wounded in a drive by shooting. The group were outside celebrating Mexican Independence.[170]"
9/14/20,Baker,Louisiana,0,4,4,"Three people were wounded in a vehicle and a fourth while walking down the street, after a drug deal turned into a robbery. One of the wounded was an eight-year-old girl.[citation needed]"
9/14/20,New Brunswick,New Jersey,2,6,8,Two people died and six others were injured in an overnight shooting near Rutgers University.[171]
9/13/20,Grand Rapids,Michigan,0,7,7,Seven people were wounded in a late night shooting outside a business in the city's southeast side. One victim's injuries were considered life-threatening.[172]
9/13/20,Manchester,Tennessee,3,3,6,"A man opened fire inside a vehicle on I-24 and killed one person in his vehicle and wounded another. He attempted to carjack three vehicles and wounded two people, before taking two hostages. At the end of the hostage taking a hostage and the gunman were dead and the other hostage released.[173]"
9/13/20,Tampa (2),Florida,0,4,4,A security guard and three club goers were wounded after an individual opened fire from a car shortly after midnight.[174]
9/13/20,Chicago(41),Illinois,1,3,4,"A man was killed and two adults and a seventeen-year-old boy were wounded while sitting on a homes porch in Englewood, after two men exited a vehicle and opened fire.[175]"
9/12/20,Chicago(40),Illinois,2,4,6,A man opened fire at an early morning house party after an argument escalated in the Austin neighborhood. Another individual returned fire causing the first shooter and three others to be wounded and two others killed.[176]
9/12/20,Wilson,North Carolina,0,5,5,Four adults and a teenager were wounded after a verbal altercation at a house party escalated.[177]
9/11/20,Donaldson,Louisiana,0,5,5,"Five people were wounded at a large party, with one aged sixteen-years-old.[178]"
9/10/20,New Orleans (5),Louisiana,3,1,4,"Four minutes after a shooting, police were alerted to a second in which three men died, and one wounded.[179]"
9/9/20,St. Louis(10),Missouri,1,3,4,A man was killed and three others wounded in the Wellston neighborhood.[180]
9/8/20,Baltimore(8),Maryland,0,5,5,Five people including a seventeen-year-old were injured while playing a dice game when a vehicle pulled up and opened fire.[181]
9/7/20,New Orleans (4),Louisiana,0,4,4,Four people including a fourteen-year-old boy were injured in Central City.[182]
9/7/20,New York City (18),New York,0,5,5,"A fifteen-year-old shooter opened fire at a group of people in a drive-by shooting, including a six-year-old in Brooklyn. Police believe the shooting to be gang related.[183]"
